"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","alc_use","high_use","guardian","traveltime","studytime","schoolsup","famsup","activities","higher","romantic","famrel","freetime","health","goout","Walc","Dalc","failures","paid","absences","G1","G2","G3"
"GP","F",15,"R","GT3","T",1,1,"at_home","other","home","yes","yes",1,FALSE,"mother",2,4,"yes","yes","yes","yes","no",3,1,1,2,1,1,0,"yes",3,10,12,12
"GP","F",15,"R","GT3","T",1,1,"other","other","reputation","no","yes",3,TRUE,"mother",1,2,"yes","yes","no","yes","yes",3,3,5,4,4,2,1,"no",2,10,8,8
"GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","yes","no",1,FALSE,"mother",1,1,"yes","yes","yes","yes","no",4,3,2,1,1,1,0,"no",8,14,13,12
"GP","F",15,"R","GT3","T",2,4,"services","health","course","yes","yes",1,FALSE,"mother",1,3,"yes","yes","yes","yes","no",4,3,5,2,1,1,0,"no",2,10,10,9
"GP","F",15,"R","GT3","T",3,3,"services","services","reputation","yes","yes",2.5,TRUE,"other",2,3,"no","yes","yes","yes","yes",4,2,3,1,3,2,1,"yes",5,12,12,12
"GP","F",15,"R","GT3","T",3,4,"services","health","course","yes","yes",1,FALSE,"mother",1,3,"yes","yes","yes","yes","no",4,3,5,2,1,1,0,"no",2,12,12,12
"GP","F",15,"R","GT3","T",3,4,"services","teacher","course","yes","yes",2,FALSE,"father",2,3,"no","yes","no","yes","yes",4,2,5,2,2,2,1,"no",0,11,6,6
"GP","F",15,"R","LE3","T",2,2,"health","services","reputation","yes","yes",2,FALSE,"mother",2,2,"yes","yes","no","yes","no",4,1,4,3,3,1,0,"no",1,10,10,10
"GP","F",15,"R","LE3","T",3,1,"other","other","reputation","no","yes",2.5,TRUE,"father",2,4,"no","yes","no","yes","no",4,4,3,2,3,2,0,"no",9,16,16,16
"GP","F",15,"U","GT3","A",3,3,"other","health","reputation","yes","no",1,FALSE,"father",1,4,"yes","no","no","yes","no",4,3,4,3,1,1,0,"no",10,10,10,10
"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes",1,FALSE,"mother",1,2,"no","yes","yes","yes","no",4,3,1,2,1,1,0,"no",0,14,14,15
"GP","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes",1.5,FALSE,"mother",3,1,"no","yes","yes","yes","yes",4,3,4,3,2,1,0,"no",3,10,6,6
"GP","F",15,"U","GT3","T",1,1,"other","other","home","no","yes",2.5,TRUE,"father",1,2,"no","yes","yes","yes","no",4,3,4,2,3,2,0,"no",2,11,11,11
"GP","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes",1.5,FALSE,"father",1,2,"no","yes","no","yes","no",4,4,5,2,2,1,0,"no",0,10,12,12
"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes",1,FALSE,"mother",1,2,"no","yes","no","yes","no",4,3,5,2,1,1,0,"no",4,12,12,12
"GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes",1.5,FALSE,"mother",1,2,"no","no","no","yes","no",3,2,1,3,2,1,0,"no",1,15,14,14
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes",1,FALSE,"father",3,3,"no","yes","yes","yes","no",5,2,4,2,1,1,0,"no",2,10,12,12
"GP","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes",1,FALSE,"mother",1,4,"yes","yes","no","yes","no",5,1,3,2,1,1,0,"no",6,8,9,9
"GP","F",15,"U","GT3","T",2,3,"other","other","other","yes","no",1,FALSE,"father",2,1,"no","yes","yes","yes","no",3,5,5,1,1,1,0,"no",2,10,9,8
"GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes",1,FALSE,"father",1,2,"no","yes","no","yes","no",3,3,3,2,1,1,2,"no",1,8,9,6
"GP","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes",1,FALSE,"mother",2,2,"yes","yes","no","yes","no",4,3,2,5,1,1,0,"no",21,9,8,8
"GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",3,2,5,2,1,1,0,"no",1,14,14,14
"GP","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes",2,FALSE,"mother",1,3,"no","yes","yes","yes","no",5,3,1,3,3,1,0,"no",4,14,14,14
"GP","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes",2,FALSE,"mother",1,1,"no","no","yes","yes","no",4,5,1,5,3,1,0,"no",5,15,15,16
"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes",1,FALSE,"mother",1,3,"no","yes","yes","yes","yes",4,3,5,3,1,1,0,"no",2,12,7,8
"GP","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes",2.5,TRUE,"mother",1,1,"yes","yes","no","yes","no",3,3,5,4,3,2,0,"no",0,10,11,12
